
2022/08/08 (23:10:08) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2022/08/08 (23:10:09) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2022/08/08 (23:10:27) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2022/08/08 (23:11:23) | DEBUG: Writing new config file
2022/08/08 (23:11:23) | INFO: Quitting! Runtime: 00:15:17

2022/08/08 (23:11:50) | ===> btop++ v.1.2.8
2022/08/08 (23:11:50) | INFO: Logger set to DEBUG
2022/08/08 (23:11:50) | DEBUG: Using locale en_US.UTF-8
2022/08/08 (23:11:50) | INFO: Running on /dev/pts/2
2022/08/08 (23:11:54) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2022/08/08 (23:11:55) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2022/08/08 (23:11:55) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2022/08/08 (23:11:55) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2022/08/08 (23:11:55) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2022/08/08 (23:11:55) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2022/08/08 (23:11:56) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2022/08/08 (23:11:56) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2022/08/08 (23:11:56) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2022/08/08 (23:11:57) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2022/08/08 (23:11:57) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2022/08/08 (23:11:57) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2022/08/08 (23:11:57) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2022/08/08 (23:11:58) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/08 (23:11:58) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2022/08/08 (23:11:58) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2022/08/08 (23:11:59) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2022/08/08 (23:11:59) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2022/08/08 (23:11:59) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2022/08/08 (23:12:00) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2022/08/08 (23:12:00) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2022/08/08 (23:12:00) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/08 (23:12:01) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/08 (23:12:01) | DEBUG: Loading theme file: /home/gui/.config/btop/themes/catppuccin.theme
2022/08/08 (23:14:26) | DEBUG: Writing new config file
2022/08/08 (23:14:26) | INFO: Quitting! Runtime: 00:02:36

2022/08/08 (23:15:20) | ===> btop++ v.1.2.8
2022/08/08 (23:15:20) | INFO: Logger set to DEBUG
2022/08/08 (23:15:20) | DEBUG: Using locale en_US.UTF-8
2022/08/08 (23:15:20) | INFO: Running on /dev/pts/2
2022/08/08 (23:15:43) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2022/08/08 (23:15:44) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2022/08/08 (23:15:44) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2022/08/08 (23:15:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
